"SEARCHVAL","BLK_NO","ROAD_NAME","BUILDING","ADDRESS","POSTAL","X","Y","LATITUDE","LONGITUDE","LONGTITUDE"
"MERIDIAN PRIMARY SCHOOL","20","PASIR RIS STREET 71","MERIDIAN PRIMARY SCHOOL","20 PASIR RIS STREET 71 MERIDIAN PRIMARY SCHOOL SINGAPORE 518798","518798","39303.5458041914","39724.6885971092","1.37552831658488","103.934889078246","103.934889078246"
"PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","298","LORONG AH SOO","PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741","536741","33748.3760953201","36843.4187818971","1.34947276268398","103.884971343143","103.884971343143"
"MONTFORT JUNIOR SCHOOL","52","HOUGANG AVENUE 8","MONTFORT JUNIOR SCHOOL","52 HOUGANG AVENUE 8 MONTFORT JUNIOR SCHOOL SINGAPORE 538786","538786","34230.9110763958","39536.1151842494","1.3738244407598","103.889307782925","103.889307782925"
"NAN CHIAU PRIMARY SCHOOL","50","ANCHORVALE LINK","NAN CHIAU PRIMARY SCHOOL","50 ANCHORVALE LINK NAN CHIAU PRIMARY SCHOOL SINGAPORE 545080","545080","34439.3196740774","41569.2687405832","1.39221149906595","103.891180928186","103.891180928186"
"NAN HUA PRIMARY SCHOOL","30","JALAN LEMPENG","NAN HUA PRIMARY SCHOOL","30 JALAN LEMPENG NAN HUA PRIMARY SCHOOL SINGAPORE 128806","128806","19963.690633839","33497.793874938","1.31921561369444","103.761108191333","103.761108191333"
"NANYANG PRIMARY SCHOOL","52","KING'S ROAD","NANYANG PRIMARY SCHOOL","52 KING'S ROAD NANYANG PRIMARY SCHOOL SINGAPORE 268097","268097","25154.487211477","33678.1373927575","1.32084749904534","103.807750155296","103.807750155296"
"NAVAL BASE PRIMARY SCHOOL","7","YISHUN AVENUE 4","NAVAL BASE PRIMARY SCHOOL","7 YISHUN AVENUE 4 NAVAL BASE PRIMARY SCHOOL SINGAPORE 769028","769028","28609.3447617423","44233.5083953626","1.41630663159389","103.838794077233","103.838794077233"
"NEW TOWN PRIMARY SCHOOL","300","TANGLIN HALT ROAD","NEW TOWN PRIMARY SCHOOL","300 TANGLIN HALT ROAD NEW TOWN PRIMARY SCHOOL SINGAPORE 148812","148812","24303.3274160316","31333.3311160151","1.29964181064172","103.800102318609","103.800102318609"
"NGEE ANN PRIMARY SCHOOL","344","MARINE TERRACE","NGEE ANN PRIMARY SCHOOL","344 MARINE TERRACE NGEE ANN PRIMARY SCHOOL SINGAPORE 449149","449149","37364.5041869497","31984.0027186852","1.305525059105","103.917463017497","103.917463017497"
"NORTH SPRING PRIMARY SCHOOL","1","RIVERVALE STREET","NORTH SPRING PRIMARY SCHOOL","1 RIVERVALE STREET NORTH SPRING PRIMARY SCHOOL SINGAPORE 545088","545088","35777.2005732823","40999.8398870286","1.38706146494863","103.903202683028","103.903202683028"
"NORTH VIEW PRIMARY SCHOOL","210","YISHUN AVENUE 6","NORTH VIEW PRIMARY SCHOOL","210 YISHUN AVENUE 6 NORTH VIEW PRIMARY SCHOOL SINGAPORE 768960","768960","29655.0564113883","45473.7925722413","1.42752327193729","103.848190787869","103.848190787869"
"NORTH VISTA PRIMARY SCHOOL","20","COMPASSVALE LINK","NORTH VISTA PRIMARY SCHOOL","20 COMPASSVALE LINK NORTH VISTA PRIMARY SCHOOL SINGAPORE 544974","544974","34971.4042828055","40531.0861005466","1.38282243016301","103.895961877928","103.895961877928"
"NORTHLAND PRIMARY SCHOOL","15","YISHUN AVENUE 4","NORTHLAND PRIMARY SCHOOL","15 YISHUN AVENUE 4 NORTHLAND PRIMARY SCHOOL SINGAPORE 769026","769026","28846.8654693803","44749.149679793","1.42096989918956","103.840928424929","103.840928424929"
"NORTHOAKS PRIMARY SCHOOL","61","SEMBAWANG DRIVE","NORTHOAKS PRIMARY SCHOOL","61 SEMBAWANG DRIVE NORTHOAKS PRIMARY SCHOOL SINGAPORE 757622","757622","25872.0767556801","48689.8195981421","1.45660782030105","103.814196981329","103.814196981329"
"OASIS PRIMARY SCHOOL","71","EDGEFIELD PLAINS","OASIS PRIMARY SCHOOL","71 EDGEFIELD PLAINS OASIS PRIMARY SCHOOL SINGAPORE 828716","828716","36658.2990973182","42941.8599344026","1.40462413200795","103.911120600638","103.911120600638"
"OPERA ESTATE PRIMARY SCHOOL","48","FIDELIO STREET","OPERA ESTATE PRIMARY SCHOOL","48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436","458436","38068.3909911728","33509.3080883566","1.3193191443626","103.923788259248","103.923788259248"
"PALM VIEW PRIMARY SCHOOL","150","COMPASSVALE BOW","PALM VIEW PRIMARY SCHOOL","150 COMPASSVALE BOW PALM VIEW PRIMARY SCHOOL SINGAPORE 544822","544822","34458.6783197634","40635.7654705271","1.38376923022127","103.891354675017","103.891354675017"
"PARK VIEW PRIMARY SCHOOL","60","PASIR RIS DRIVE 1","PARK VIEW PRIMARY SCHOOL","60 PASIR RIS DRIVE 1 PARK VIEW PRIMARY SCHOOL SINGAPORE 519524","519524","39821.3162899353","39929.5384668745","1.37738069854251","103.939541695654","103.939541695654"
"PASIR RIS PRIMARY SCHOOL","5","PASIR RIS STREET 21","PASIR RIS PRIMARY SCHOOL","5 PASIR RIS STREET 21 PASIR RIS PRIMARY SCHOOL SINGAPORE 518968","518968","42410.5136828683","39380.9927665405","1.37241870245533","103.962807212116","103.962807212116"
"PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","298","LORONG AH SOO","PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","298 LORONG AH SOO PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY) SINGAPORE 536741","536741","33748.3760953201","36843.4187818971","1.34947276268398","103.884971343143","103.884971343143"
"PEI CHUN PUBLIC SCHOOL","580","TOA PAYOH EAST","PEI CHUN PUBLIC SCHOOL","580 TOA PAYOH EAST PEI CHUN PUBLIC SCHOOL SINGAPORE 319133","319133","30816.7546719583","34993.2463862896","1.33274088113984","103.858628716978","103.858628716978"
"PEI HWA PRESBYTERIAN PRIMARY SCHOOL","7","PEI WAH AVENUE","PEI HWA PRESBYTERIAN PRIMARY SCHOOL","7 PEI WAH AVENUE PEI HWA PRESBYTERIAN PRIMARY SCHOOL SINGAPORE 597610","597610","21633.0989682619","35580.9228991866","1.33805507824253","103.776108247761","103.776108247761"
"PEI TONG PRIMARY SCHOOL","15","CLEMENTI AVENUE 5","PEI TONG PRIMARY SCHOOL","15 CLEMENTI AVENUE 5 PEI TONG PRIMARY SCHOOL SINGAPORE 129857","129857","20683.6471949052","33162.5489562284","1.31618395958382","103.767577449156","103.767577449156"
"YISHUN PRIMARY SCHOOL","500","YISHUN RING ROAD","YISHUN PRIMARY SCHOOL","500 YISHUN RING ROAD YISHUN PRIMARY SCHOOL SINGAPORE 768679","768679","28085.5266117798","46122.0614720955","1.43338602948303","103.834087115915","103.834087115915"
"PEIYING PRIMARY SCHOOL","651","YISHUN RING ROAD","PEIYING PRIMARY SCHOOL","651 YISHUN RING ROAD PEIYING PRIMARY SCHOOL SINGAPORE 768687","768687","27677.105997242","44335.9849220235","1.41723339695906","103.830417090698","103.830417090698"
"PIONEER PRIMARY SCHOOL","23","JURONG WEST STREET 81","PIONEER PRIMARY SCHOOL","23 JURONG WEST STREET 81 PIONEER PRIMARY SCHOOL SINGAPORE 649076","649076","12607.0934523968","36773.4045769703","1.34883617453429","103.695003812477","103.695003812477"
"POI CHING SCHOOL","21","TAMPINES STREET 71","POI CHING SCHOOL","21 TAMPINES STREET 71 POI CHING SCHOOL SINGAPORE 529067","529067","39343.403805065","37747.9291978553","1.35765122315691","103.935246477199","103.935246477199"
"PRINCESS ELIZABETH PRIMARY SCHOOL","30","BUKIT BATOK WEST AVENUE 3","PRINCESS ELIZABETH PRIMARY SCHOOL","30 BUKIT BATOK WEST AVENUE 3 PRINCESS ELIZABETH PRIMARY SCHOOL SINGAPORE 659163","659163","17728.1546840407","36813.7803722415","1.34920351265302","103.74101964471","103.74101964471"
"PUNGGOL PRIMARY SCHOOL","61","HOUGANG AVENUE 8","PUNGGOL PRIMARY SCHOOL","61 HOUGANG AVENUE 8 PUNGGOL PRIMARY SCHOOL SINGAPORE 538787","538787","34809.5016551372","39975.1199618615","1.37779451245844","103.894506933396","103.894506933396"
"PUNGGOL COVE PRIMARY SCHOOL","52","SUMANG WALK","PUNGGOL COVE PRIMARY SCHOOL","52 SUMANG WALK PUNGGOL COVE PRIMARY SCHOOL SINGAPORE 828674","828674","35287.6769569106","43713.055106882","1.41159891873965","103.898804620697","103.898804620697"
"PUNGGOL GREEN PRIMARY SCHOOL","98","PUNGGOL WALK","PUNGGOL GREEN PRIMARY SCHOOL","98 PUNGGOL WALK PUNGGOL GREEN PRIMARY SCHOOL SINGAPORE 828772","828772","35287.3409520229","42637.5237120893","1.40187220643297","103.898801330302","103.898801330302"
"PUNGGOL VIEW PRIMARY SCHOOL","9","PUNGGOL PLACE","PUNGGOL VIEW PRIMARY SCHOOL","9 PUNGGOL PLACE PUNGGOL VIEW PRIMARY SCHOOL SINGAPORE 828845","828845","35994.5599585734","42999.5250743851","1.40514582647964","103.905156371376","103.905156371376"
"QIFA PRIMARY SCHOOL","50","WEST COAST AVENUE","QIFA PRIMARY SCHOOL","50 WEST COAST AVENUE QIFA PRIMARY SCHOOL SINGAPORE 128104","128104","19477.8902518759","32838.32442878","1.31325147892085","103.756743208641","103.756743208641"
"QIHUA PRIMARY SCHOOL","5","WOODLANDS STREET 81","QIHUA PRIMARY SCHOOL","5 WOODLANDS STREET 81 QIHUA PRIMARY SCHOOL SINGAPORE 738525","738525","22994.555115696","47078.5774599053","1.44203596612333","103.788339756898","103.788339756898"
"QUEENSTOWN PRIMARY SCHOOL","310","MARGARET DRIVE","QUEENSTOWN PRIMARY SCHOOL","310 MARGARET DRIVE QUEENSTOWN PRIMARY SCHOOL SINGAPORE 149303","149303","25132.029336134","30885.6966638323","1.29559365009016","103.807548617332","103.807548617332"
"RADIN MAS PRIMARY SCHOOL","1","BUKIT PURMEI AVENUE","RADIN MAS PRIMARY SCHOOL","1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840","099840","26983.8685896061","28603.9263991751","1.27495823622639","103.824188270373","103.824188270373"
"RAFFLES GIRLS' PRIMARY SCHOOL","21","HILLCREST ROAD","RAFFLES GIRLS' PRIMARY SCHOOL","21 HILLCREST ROAD RAFFLES GIRLS' PRIMARY SCHOOL SINGAPORE 289072","289072","25009.0146507304","34624.3017604034","1.32940426000123","103.806442915912","103.806442915912"
"RED SWASTIKA SCHOOL","350","BEDOK NORTH AVENUE 3","RED SWASTIKA SCHOOL","350 BEDOK NORTH AVENUE 3 RED SWASTIKA SCHOOL SINGAPORE 469719","469719","39241.7795945583","35048.9817909691","1.33324297847733","103.934332314404","103.934332314404"
"RIVER VALLEY PRIMARY SCHOOL","2","RIVER VALLEY GREEN","RIVER VALLEY PRIMARY SCHOOL","2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993","237993","28331.1099838475","30689.3107816949","1.29381773551582","103.836293744289","103.836293744289"
"RIVERSIDE PRIMARY SCHOOL","110","WOODLANDS CRESCENT","RIVERSIDE PRIMARY SCHOOL","110 WOODLANDS CRESCENT RIVERSIDE PRIMARY SCHOOL SINGAPORE 737803","737803","24496.0361921676","47632.685174657","1.44704734253722","103.801831963297","103.801831963297"
"RIVERVALE PRIMARY SCHOOL","80","RIVERVALE DRIVE","RIVERVALE PRIMARY SCHOOL","80 RIVERVALE DRIVE RIVERVALE PRIMARY SCHOOL SINGAPORE 545092","545092","35928.1770339198","41702.2789433207","1.39341402618231","103.904559511847","103.904559511847"
"ROSYTH SCHOOL","21","SERANGOON NORTH AVENUE 4","ROSYTH SCHOOL","21 SERANGOON NORTH AVENUE 4 ROSYTH SCHOOL SINGAPORE 555855","555855","32638.8043574635","39432.831561802","1.37289067499066","103.875001549174","103.875001549174"
"RULANG PRIMARY SCHOOL","6","JURONG WEST STREET 52","RULANG PRIMARY SCHOOL","6 JURONG WEST STREET 52 RULANG PRIMARY SCHOOL SINGAPORE 649295","649295","15217.2735802177","36541.3390983064","1.34673868889098","103.718457955487","103.718457955487"
"SEMBAWANG PRIMARY SCHOOL","10","SEMBAWANG DRIVE","SEMBAWANG PRIMARY SCHOOL","10 SEMBAWANG DRIVE SEMBAWANG PRIMARY SCHOOL SINGAPORE 757715","757715","26631.5284953006","47411.1056454685","1.44504364423834","103.821021505115","103.821021505115"
"SENG KANG PRIMARY SCHOOL","21","COMPASSVALE WALK","SENG KANG PRIMARY SCHOOL","21 COMPASSVALE WALK SENG KANG PRIMARY SCHOOL SINGAPORE 545166","545166","35394.8580362806","41269.1828393471","1.38949740395092","103.899767112047","103.899767112047"
"SENGKANG GREEN PRIMARY SCHOOL","15","FERNVALE ROAD","SENGKANG GREEN PRIMARY SCHOOL","15 FERNVALE ROAD SENGKANG GREEN PRIMARY SCHOOL SINGAPORE 797636","797636","32662.81664511","41639.3984784037","1.39284606680479","103.875217666486","103.875217666486"
"SHUQUN PRIMARY SCHOOL","8","JURONG WEST STREET 51","SHUQUN PRIMARY SCHOOL","8 JURONG WEST STREET 51 SHUQUN PRIMARY SCHOOL SINGAPORE 649332","649332","15558.463857362","36642.4359194655","1.34765311431636","103.721523713379","103.721523713379"
"SI LING PRIMARY SCHOOL","61","WOODLANDS AVENUE 1","SI LING PRIMARY SCHOOL","61 WOODLANDS AVENUE 1 SI LING PRIMARY SCHOOL SINGAPORE 739067","739067","22738.0565941436","46014.1202728506","1.43240935732527","103.786035065192","103.786035065192"
"SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY)","190","DUNEARN ROAD","SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY)","190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL (PRIMARY) SINGAPORE 309437","309437","27417.1566228662","33702.9661895335","1.32107216883114","103.828081425237","103.828081425237"
"SOUTH VIEW PRIMARY SCHOOL","6","CHOA CHU KANG CENTRAL","SOUTH VIEW PRIMARY SCHOOL","6 CHOA CHU KANG CENTRAL SOUTH VIEW PRIMARY SCHOOL SINGAPORE 689762","689762","18313.2418920044","40403.370676199","1.38166664389752","103.746275846011","103.746275846011"
"SPRINGDALE PRIMARY SCHOOL","71","ANCHORVALE LINK","SPRINGDALE PRIMARY SCHOOL","71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799","544799","34299.6806921009","41841.1254489496","1.39467010299297","103.889926221247","103.889926221247"
"ST.%20ANDREW%27S%20JUNIOR%20SCHOOL",,,,,,,,,,
"ST.%20ANTHONY%27S%20CANOSSIAN%20PRIMARY%20SCHOOL",,,,,,,,,,
"SAINT ANTHONY'S PRIMARY SCHOOL","30","BUKIT BATOK STREET 32","SAINT ANTHONY'S PRIMARY SCHOOL","30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401","659401","18644.373300924","38462.7800646238","1.36411676276186","103.749251919144","103.749251919144"
"ST.%20GABRIEL%27S%20PRIMARY%20SCHOOL",,,,,,,,,,
"ST.%20HILDA%27S%20PRIMARY%20SCHOOL",,,,,,,,,,
"Morning Star Community Services (St Joseph's Institution Junior)","3","ESSEX ROAD","Morning Star Community Services (St Joseph's Institution Junior)","3 ESSEX ROAD Morning Star Community Services (St Joseph's Institution Junior) SINGAPORE 309331","309331","29368.1309083998","33333.2565100919","1.31772862027101","103.845611937411","103.845611937411"
"ST.%20MARGARET%27S%20PRIMARY%20SCHOOL",,,,,,,,,,
"SAINT STEPHEN'S SCHOOL","20","SIGLAP VIEW","SAINT STEPHEN'S SCHOOL","20 SIGLAP VIEW SAINT STEPHEN'S SCHOOL SINGAPORE 455789","455789","37341.6528278189","33450.7695051674","1.31878997295137","103.917258129598","103.917258129598"
"STAMFORD PRIMARY SCHOOL","1","VICTORIA LANE","STAMFORD PRIMARY SCHOOL","1 VICTORIA LANE STAMFORD PRIMARY SCHOOL SINGAPORE 198423","198423","30685.9966796199","31755.1155901868","1.3034563846745","103.857453500579","103.857453500579"
"TAMPINES NORTH PRIMARY SCHOOL","30","TAMPINES AVENUE 9","TAMPINES NORTH PRIMARY SCHOOL","30 TAMPINES AVENUE 9 TAMPINES NORTH PRIMARY SCHOOL SINGAPORE 529565","529565","40843.4826263869","38060.3925251365","1.36047641484685","103.948725782833","103.948725782833"
"TAMPINES PRIMARY SCHOOL","250","TAMPINES STREET 12","TAMPINES PRIMARY SCHOOL","250 TAMPINES STREET 12 TAMPINES PRIMARY SCHOOL SINGAPORE 529426","529426","40318.1325834999","36877.4678724092","1.34977870805929","103.944004684986","103.944004684986"
"TANJONG KATONG PRIMARY SCHOOL","10","SERAYA ROAD","TANJONG KATONG PRIMARY SCHOOL","10 SERAYA ROAD TANJONG KATONG PRIMARY SCHOOL SINGAPORE 437259","437259","35435.3037505941","31957.0435401425","1.30528177350467","103.900128254182","103.900128254182"
"TAO NAN SCHOOL","49","MARINE CRESCENT","TAO NAN SCHOOL","49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761","449761","36706.7907984033","31957.468684243","1.30528528687323","103.911553152326","103.911553152326"
"TECK GHEE PRIMARY SCHOOL","1","ANG MO KIO STREET 32","TECK GHEE PRIMARY SCHOOL","1 ANG MO KIO STREET 32 TECK GHEE PRIMARY SCHOOL SINGAPORE 569299","569299","29962.9602906751","38625.2859029397","1.36558782075971","103.850957126982","103.850957126982"
"TECK WHYE PRIMARY SCHOOL","11","TECK WHYE WALK","TECK WHYE PRIMARY SCHOOL","11 TECK WHYE WALK TECK WHYE PRIMARY SCHOOL SINGAPORE 688261","688261","19094.0433355467","40622.6493846066","1.38364996834459","103.753291857016","103.753291857016"
"TELOK KURAU PRIMARY SCHOOL","50","BEDOK RESERVOIR ROAD","TELOK KURAU PRIMARY SCHOOL","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","479239","36637.797290423","34805.9404149782","1.3310458544135","103.910934011337","103.910934011337"
"TEMASEK PRIMARY SCHOOL","501","BEDOK SOUTH AVENUE 3","TEMASEK PRIMARY SCHOOL","501 BEDOK SOUTH AVENUE 3 TEMASEK PRIMARY SCHOOL SINGAPORE 469300","469300","40494.796937095","33331.119106153","1.31770677551335","103.945590669163","103.945590669163"
"TOWNSVILLE PRIMARY SCHOOL","3","ANG MO KIO AVENUE 10","TOWNSVILLE PRIMARY SCHOOL","3 ANG MO KIO AVENUE 10 TOWNSVILLE PRIMARY SCHOOL SINGAPORE 569730","569730","30282.2422985248","38011.0245053861","1.36003263719251","103.853826048328","103.853826048328"
"UNITY PRIMARY SCHOOL","21","CHOA CHU KANG CRESCENT","UNITY PRIMARY SCHOOL","21 CHOA CHU KANG CRESCENT UNITY PRIMARY SCHOOL SINGAPORE 688268","688268","18374.1775784316","42746.2521210536","1.40285481877249","103.746822625758","103.746822625758"
"WATERWAY PRIMARY SCHOOL","70","PUNGGOL DRIVE","WATERWAY PRIMARY SCHOOL","70 PUNGGOL DRIVE WATERWAY PRIMARY SCHOOL SINGAPORE 828802","828802","37493.0794339105","42300.9820826873","1.3988280062658","103.918621581556","103.918621581556"
"WELLINGTON PRIMARY SCHOOL","10","WELLINGTON CIRCLE","WELLINGTON PRIMARY SCHOOL","10 WELLINGTON CIRCLE WELLINGTON PRIMARY SCHOOL SINGAPORE 757702","757702","26774.4825479258","48170.9998424742","1.45191585783116","103.82230605577","103.82230605577"
"WEST GROVE PRIMARY SCHOOL","1","JURONG WEST STREET 72","WEST GROVE PRIMARY SCHOOL","1 JURONG WEST STREET 72 WEST GROVE PRIMARY SCHOOL SINGAPORE 649223","649223","13083.6706046294","36335.8187624346","1.34487905600144","103.699286360581","103.699286360581"
"WEST SPRING PRIMARY SCHOOL","60","BUKIT PANJANG RING ROAD","WEST SPRING PRIMARY SCHOOL","60 BUKIT PANJANG RING ROAD WEST SPRING PRIMARY SCHOOL SINGAPORE 679946","679946","20515.6521669384","41208.8579608295","1.3889518240231","103.766065925932","103.766065925932"
"WEST VIEW PRIMARY SCHOOL","31","SENJA ROAD","WEST VIEW PRIMARY SCHOOL","31 SENJA ROAD WEST VIEW PRIMARY SCHOOL SINGAPORE 677742","677742","19867.3321747268","40625.4829824381","1.38367582003361","103.760240434318","103.760240434318"
"WESTWOOD PRIMARY SCHOOL","1","JURONG WEST STREET 73","WESTWOOD PRIMARY SCHOOL","1 JURONG WEST STREET 73 WESTWOOD PRIMARY SCHOOL SINGAPORE 649188","649188","13222.5567915831","36590.7433791012","1.34718456606377","103.70053420978","103.70053420978"
"WHITE SANDS PRIMARY SCHOOL","2","PASIR RIS STREET 11","WHITE SANDS PRIMARY SCHOOL","2 PASIR RIS STREET 11 WHITE SANDS PRIMARY SCHOOL SINGAPORE 519075","519075","42200.4040547693","38622.2636750322","1.36555714668556","103.960918869319","103.960918869319"
"WOODGROVE PRIMARY SCHOOL","2","WOODLANDS DRIVE 14","WOODGROVE PRIMARY SCHOOL","2 WOODLANDS DRIVE 14 WOODGROVE PRIMARY SCHOOL SINGAPORE 738079","738079","23246.5605064053","46090.8542425763","1.43310340168969","103.790604437613","103.790604437613"
"WOODLANDS PRIMARY SCHOOL","10","WOODLANDS DRIVE 50","WOODLANDS PRIMARY SCHOOL","10 WOODLANDS DRIVE 50 WOODLANDS PRIMARY SCHOOL SINGAPORE 738853","738853","23354.0808293363","46472.0799515154","1.43655108594233","103.791570546509","103.791570546509"
"WOODLANDS RING PRIMARY SCHOOL","11","WOODLANDS RING ROAD","WOODLANDS RING PRIMARY SCHOOL","11 WOODLANDS RING ROAD WOODLANDS RING PRIMARY SCHOOL SINGAPORE 738240","738240","24006.7839585375","46295.2823582552","1.4349522931586","103.797435733144","103.797435733144"
"XINGHUA PRIMARY SCHOOL","45","HOUGANG AVENUE 1","XINGHUA PRIMARY SCHOOL","45 HOUGANG AVENUE 1 XINGHUA PRIMARY SCHOOL SINGAPORE 538882","538882","34359.7422694266","37776.2619072292","1.35790893608186","103.890465047334","103.890465047334"
"XINGNAN PRIMARY SCHOOL","5","JURONG WEST STREET 91","XINGNAN PRIMARY SCHOOL","5 JURONG WEST STREET 91 XINGNAN PRIMARY SCHOOL SINGAPORE 649036","649036","11822.0669615427","36078.0729275402","1.34254744877696","103.687950252103","103.687950252103"
"XINMIN PRIMARY SCHOOL","9","HOUGANG AVENUE 8","XINMIN PRIMARY SCHOOL","9 HOUGANG AVENUE 8 XINMIN PRIMARY SCHOOL SINGAPORE 538784","538784","33537.9261037437","39267.5186706763","1.37139548941933","103.883080767491","103.883080767491"
"XISHAN PRIMARY SCHOOL","8","YISHUN STREET 21","XISHAN PRIMARY SCHOOL","8 YISHUN STREET 21 XISHAN PRIMARY SCHOOL SINGAPORE 768611","768611","28493.7422212632","46131.553663129","1.43347186925066","103.837755319448","103.837755319448"
"YANGZHENG PRIMARY SCHOOL","15","SERANGOON AVENUE 3","YANGZHENG PRIMARY SCHOOL","15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108","556108","31898.5564730614","36788.2079213746","1.3489737533151","103.868349549195","103.868349549195"
"YEW TEE PRIMARY SCHOOL","10","CHOA CHU KANG STREET 64","YEW TEE PRIMARY SCHOOL","10 CHOA CHU KANG STREET 64 YEW TEE PRIMARY SCHOOL SINGAPORE 689100","689100","18837.4187175743","42072.9598012883","1.39676596249722","103.750985438887","103.750985438887"
"YIO CHU KANG PRIMARY SCHOOL","1","HOUGANG STREET 51","YIO CHU KANG PRIMARY SCHOOL","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","538720","33823.1315680211","39990.3703038488","1.37793264345278","103.885643682171","103.885643682171"
"YISHUN PRIMARY SCHOOL","500","YISHUN RING ROAD","YISHUN PRIMARY SCHOOL","500 YISHUN RING ROAD YISHUN PRIMARY SCHOOL SINGAPORE 768679","768679","28085.5266117798","46122.0614720955","1.43338602948303","103.834087115915","103.834087115915"
"YU NENG PRIMARY SCHOOL","56","BEDOK NORTH STREET 3","YU NENG PRIMARY SCHOOL","56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623","469623","38998.9447975559","35120.4068774227","1.33388900977814","103.932150334643","103.932150334643"
"YUHUA PRIMARY SCHOOL","158","JURONG EAST STREET 24","YUHUA PRIMARY SCHOOL","158 JURONG EAST STREET 24 YUHUA PRIMARY SCHOOL SINGAPORE 609558","609558","17737.9845447009","36105.9688093737","1.34280232811025","103.741108212538","103.741108212538"
"YUMIN PRIMARY SCHOOL","3","TAMPINES STREET 21","YUMIN PRIMARY SCHOOL","3 TAMPINES STREET 21 YUMIN PRIMARY SCHOOL SINGAPORE 529393","529393","41036.7447315333","37044.8092632666","1.35129177656982","103.950461927088","103.950461927088"
"ZHANGDE PRIMARY SCHOOL","51","JALAN MEMBINA","ZHANGDE PRIMARY SCHOOL","51 JALAN MEMBINA ZHANGDE PRIMARY SCHOOL SINGAPORE 169485","169485","27180.1468993295","29627.1075303163","1.28421153335382","103.825951875662","103.825951875662"
"ZHENGHUA PRIMARY SCHOOL","9","FAJAR ROAD","ZHENGHUA PRIMARY SCHOOL","9 FAJAR ROAD ZHENGHUA PRIMARY SCHOOL SINGAPORE 679002","679002","20877.0395431854","40169.1169131175","1.37954887512233","103.769313521752","103.769313521752"
"ZHONGHUA PRIMARY SCHOOL","12","SERANGOON AVENUE 4","ZHONGHUA PRIMARY SCHOOL","12 SERANGOON AVENUE 4 ZHONGHUA PRIMARY SCHOOL SINGAPORE 556095","556095","32055.7766133808","38029.916116083","1.3602032970505","103.869762438084","103.869762438084"